run_id,random_seed,vehicle_id,collided,severity,collision_time,min_speed_mph,final_speed_mph
21,21,spawned_2,False,,,20.0,20.0
21,21,spawned_3,False,,,20.0,20.0
21,21,spawned_4,False,,,20.0,20.0
21,21,spawned_5,False,,,20.0,20.0
21,21,spawned_6,False,,,20.0,20.0
21,21,spawned_7,False,,,20.0,20.0
22,22,solo,False,,,3.48,17.3
22,22,spawned_1,False,,,6.91,10.05
22,22,spawned_2,False,,,11.28,13.51
22,22,spawned_3,False,,,20.0,20.0
22,22,spawned_4,False,,,20.0,20.0
22,22,spawned_5,False,,,20.0,20.0
22,22,spawned_6,False,,,20.0,20.0
22,22,spawned_7,False,,,20.0,20.0
23,23,solo,False,,,3.48,17.3
23,23,spawned_1,False,,,20.0,20.0
23,23,spawned_2,False,,,11.28,13.51
23,23,spawned_3,False,,,20.0,20.0
23,23,spawned_4,False,,,20.0,20.0
23,23,spawned_5,False,,,20.0,20.0
23,23,spawned_6,False,,,20.0,20.0
23,23,spawned_7,False,,,20.0,20.0
24,24,solo,False,,,0.0,22.82
24,24,spawned_1,False,,,6.91,10.05
24,24,spawned_2,False,,,20.0,20.0
24,24,spawned_3,False,,,20.0,20.0
24,24,spawned_4,False,,,20.0,20.0
24,24,spawned_5,False,,,20.0,20.0
24,24,spawned_6,False,,,20.0,20.0
24,24,spawned_7,False,,,20.0,20.0
25,25,solo,False,,,7.04,30.0
25,25,spawned_1,False,,,20.0,20.0
25,25,spawned_2,False,,,20.0,20.0
25,25,spawned_3,False,,,20.0,20.0
25,25,spawned_4,False,,,20.0,20.0
25,25,spawned_5,False,,,20.0,20.0
25,25,spawned_6,False,,,20.0,20.0
25,25,spawned_7,False,,,20.0,20.0
26,26,solo,False,,,0.0,22.82
26,26,spawned_1,False,,,6.91,10.05
26,26,spawned_2,False,,,20.0,20.0
26,26,spawned_3,False,,,20.0,20.0
26,26,spawned_4,False,,,20.0,20.0
26,26,spawned_5,False,,,20.0,20.0
26,26,spawned_6,False,,,20.0,20.0
26,26,spawned_7,False,,,20.0,20.0
27,27,solo,False,,,7.04,30.0
27,27,spawned_1,False,,,20.0,20.0
27,27,spawned_2,False,,,20.0,20.0
27,27,spawned_3,False,,,20.0,20.0
27,27,spawned_4,False,,,20.0,20.0
27,27,spawned_5,False,,,20.0,20.0
27,27,spawned_6,False,,,20.0,20.0
27,27,spawned_7,False,,,20.0,20.0
28,28,solo,False,,,3.48,17.3
28,28,spawned_1,False,,,20.0,20.0
28,28,spawned_2,False,,,11.28,13.51
28,28,spawned_3,False,,,20.0,20.0
28,28,spawned_4,False,,,20.0,20.0
28,28,spawned_5,False,,,20.0,20.0
28,28,spawned_6,False,,,20.0,20.0
28,28,spawned_7,False,,,20.0,20.0
29,29,solo,False,,,3.48,17.3
29,29,spawned_1,False,,,20.0,20.0
29,29,spawned_2,False,,,11.28,13.51
29,29,spawned_3,False,,,20.0,20.0
29,29,spawned_4,False,,,20.0,20.0
29,29,spawned_5,False,,,20.0,20.0
29,29,spawned_6,False,,,20.0,20.0
29,29,spawned_7,False,,,20.0,20.0
30,30,solo,False,,,3.48,17.3
30,30,spawned_1,False,,,6.91,10.05
30,30,spawned_2,False,,,11.28,13.51
30,30,spawned_3,False,,,20.0,20.0
30,30,spawned_4,False,,,19.94,20.0
30,30,spawned_5,False,,,20.0,20.0
30,30,spawned_6,False,,,20.0,20.0
30,30,spawned_7,False,,,20.0,20.0
31,31,solo,False,,,3.48,17.3
31,31,spawned_1,False,,,6.91,10.05
31,31,spawned_2,False,,,11.28,13.51
31,31,spawned_3,False,,,20.0,20.0
31,31,spawned_4,False,,,20.0,20.0
31,31,spawned_5,False,,,20.0,20.0
31,31,spawned_6,False,,,20.0,20.0
31,31,spawned_7,False,,,20.0,20.0
32,32,solo,False,,,0.0,30.0
32,32,spawned_1,False,,,6.91,10.05
32,32,spawned_2,False,,,20.0,20.0
32,32,spawned_3,False,,,20.0,20.0
32,32,spawned_4,False,,,20.0,20.0
32,32,spawned_5,False,,,20.0,20.0
32,32,spawned_6,False,,,20.0,20.0
32,32,spawned_7,False,,,20.0,20.0
33,33,solo,False,,,0.0,20.04
33,33,spawned_1,False,,,20.0,20.0
33,33,spawned_2,False,,,20.0,20.0
33,33,spawned_3,False,,,20.0,20.0
33,33,spawned_4,False,,,20.0,20.0
33,33,spawned_5,False,,,20.0,20.0
33,33,spawned_6,False,,,20.0,20.0
33,33,spawned_7,False,,,20.0,20.0
